,is_accepted,score,last_activity_date,last_edit_date,creation_date,answer_id,question_id,content_license,owner.reputation,owner.user_id,owner.user_type,owner.profile_image,owner.display_name,owner.link,owner.accept_rate,community_owned_date
0,False,-1,2022-09-07 06:32:13,2022-09-07 06:32:13,2022-09-06 11:17:28,73621131,73620586,CC BY-SA 4.0,5933,6630084,registered,https://www.gravatar.com/avatar/5e0d817b4f28ee3d219b87ceefcda2ed?s=256&d=identicon&r=PG&f=1,Victor,https://stackoverflow.com/users/6630084/victor,,
1,False,0,2022-09-07 06:27:45,2022-09-07 06:27:45,2022-09-06 17:36:55,73625894,73625140,CC BY-SA 4.0,59,19789005,registered,https://lh3.googleusercontent.com/a/AItbvmkr6UDfi7cXURDMGDA6KKnxyaScgYRmvrLKmObP=k-s256,Ionut Bejinariu,https://stackoverflow.com/users/19789005/ionut-bejinariu,,
2,False,0,2022-09-07 06:27:24,2022-09-07 06:27:24,2022-09-06 12:47:20,73622336,73622125,CC BY-SA 4.0,160,1970243,registered,https://www.gravatar.com/avatar/dc1f6e7844b1d045efeeb80cc43802fe?s=256&d=identicon&r=PG,Cyrus,https://stackoverflow.com/users/1970243/cyrus,,
3,False,0,2022-09-07 06:25:14,2022-09-07 06:25:14,2022-09-06 14:05:41,73623400,73623228,CC BY-SA 4.0,18147,12342238,registered,https://i.stack.imgur.com/jko0d.png?s=256&g=1,JonasH,https://stackoverflow.com/users/12342238/jonash,,
4,False,0,2022-09-07 06:17:49,2022-09-07 06:17:49,2022-09-06 07:47:20,73618472,73618128,CC BY-SA 4.0,4095,18470692,registered,https://www.gravatar.com/avatar/7eaefb18a59bba43a89a80f2a49c9c4f?s=256&d=identicon&r=PG,ouroboros1,https://stackoverflow.com/users/18470692/ouroboros1,,
5,False,0,2022-09-07 06:06:07,2022-09-07 06:06:07,2022-09-06 07:36:58,73618334,73617653,CC BY-SA 4.0,1152684,6309,registered,https://i.stack.imgur.com/I4fiW.jpg?s=256&g=1,VonC,https://stackoverflow.com/users/6309/vonc,100.0,
6,True,1,2022-09-07 06:00:09,2022-09-07 06:00:09,2022-09-06 12:58:01,73622465,73620431,CC BY-SA 4.0,27193,7466674,registered,https://www.gravatar.com/avatar/5d846790948d5cc43593fc778116f40d?s=256&d=identicon&r=PG&f=1,Andy Li-MSFT,https://stackoverflow.com/users/7466674/andy-li-msft,,
7,False,0,2022-09-07 05:49:40,2022-09-07 05:49:40,2022-09-06 13:34:35,73622974,73581127,CC BY-SA 4.0,114,13930970,registered,https://www.gravatar.com/avatar/e672b7fc281c2c59655549299a249fbb?s=256&d=identicon&r=PG&f=1,furydrive,https://stackoverflow.com/users/13930970/furydrive,,
8,False,2,2022-09-07 05:49:21,2022-09-07 05:49:21,2022-09-06 04:58:18,73616889,73614284,CC BY-SA 4.0,3716,13832769,registered,https://www.gravatar.com/avatar/09828e895a87f892bb7e66dac3acb642?s=256&d=identicon&r=PG,Marlon Richert,https://stackoverflow.com/users/13832769/marlon-richert,,
9,False,0,2022-09-07 05:47:54,2022-09-07 05:47:54,2022-09-06 20:49:56,73627626,73626559,CC BY-SA 4.0,4095,18470692,registered,https://www.gravatar.com/avatar/7eaefb18a59bba43a89a80f2a49c9c4f?s=256&d=identicon&r=PG,ouroboros1,https://stackoverflow.com/users/18470692/ouroboros1,,
10,False,1,2022-09-07 05:44:35,2022-09-07 05:44:35,2022-09-06 06:53:44,73617824,73613600,CC BY-SA 4.0,1152684,6309,registered,https://i.stack.imgur.com/I4fiW.jpg?s=256&g=1,VonC,https://stackoverflow.com/users/6309/vonc,100.0,
11,False,0,2022-09-07 05:41:28,2022-09-07 05:41:28,2022-09-06 07:57:44,73618598,73571131,CC BY-SA 4.0,4883,12607443,registered,https://www.gravatar.com/avatar/0a01593ffab5a11f0d29d1ee09120801?s=256&d=identicon&r=PG,Ivan,https://stackoverflow.com/users/12607443/ivan,,
12,False,0,2022-09-07 05:41:25,2022-09-07 05:41:25,2022-09-06 18:32:41,73626419,73620709,CC BY-SA 4.0,41,10810717,registered,https://www.gravatar.com/avatar/1438d5f897c998ad4cb1d52679f8af63?s=256&d=identicon&r=PG&f=1,Pooja Jadhav,https://stackoverflow.com/users/10810717/pooja-jadhav,,
13,True,0,2022-09-07 05:40:05,2022-09-07 05:40:05,2022-09-06 11:54:39,73621636,73600652,CC BY-SA 4.0,2050,6786634,registered,https://www.gravatar.com/avatar/a844e1f9e8f6ef427f6039bfe18a0441?s=256&d=identicon&r=PG&f=1,Dennis Liu,https://stackoverflow.com/users/6786634/dennis-liu,88.0,
14,False,0,2022-09-07 05:32:46,2022-09-07 05:32:46,2022-09-06 03:16:52,73616349,73616089,CC BY-SA 4.0,567,3761097,registered,https://i.stack.imgur.com/R4lHz.jpg?s=256&g=1,Slack Groverglow,https://stackoverflow.com/users/3761097/slack-groverglow,83.0,
15,False,1,2022-09-07 05:27:23,2022-09-07 05:27:23,2022-09-06 16:28:39,73625177,73624592,CC BY-SA 4.0,169751,5157454,registered,https://lh3.googleusercontent.com/-QPadFFLbBGA/AAAAAAAAAAI/AAAAAAAADB8/FkNCMP_vkAc/photo.jpg?sz=256,Ori Drori,https://stackoverflow.com/users/5157454/ori-drori,,
16,False,0,2022-09-07 05:27:15,2022-09-07 05:27:15,2022-09-06 16:15:15,73625011,73624951,CC BY-SA 4.0,69166,3371862,registered,https://i.stack.imgur.com/DyCE6.png?s=256&g=1,Renaud Tarnec,https://stackoverflow.com/users/3371862/renaud-tarnec,73.0,
17,True,0,2022-09-07 04:50:12,2022-09-07 04:50:12,2022-09-06 18:19:26,73626289,73624955,CC BY-SA 4.0,35653,2755607,registered,https://www.gravatar.com/avatar/c0b903bf594599a27ed5df3776e42c5b?s=256&d=identicon&r=PG,dave_59,https://stackoverflow.com/users/2755607/dave-59,,
