,tags,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,owner.reputation,owner.user_id,owner.user_type,owner.accept_rate,owner.profile_image,owner.display_name,owner.link,closed_date,closed_reason,accepted_answer_id,locked_date,migrated_to.other_site.styling.tag_background_color,migrated_to.other_site.styling.tag_foreground_color,migrated_to.other_site.styling.link_color,migrated_to.other_site.related_sites,migrated_to.other_site.markdown_extensions,migrated_to.other_site.site_state,migrated_to.other_site.high_resolution_icon_url,migrated_to.other_site.favicon_url,migrated_to.other_site.icon_url,migrated_to.other_site.audience,migrated_to.other_site.site_url,migrated_to.other_site.api_site_parameter,migrated_to.other_site.logo_url,migrated_to.other_site.name,migrated_to.other_site.site_type,migrated_to.on_date,migrated_to.question_id,migrated_to.other_site.launch_date,migrated_to.other_site.open_beta_date,migrated_to.other_site.closed_beta_date,migrated_to.other_site.twitter_account
0,"['c++', 'allocator']",False,34,1,-1,1662364662,1662278930,1662352828.0,73597765,CC BY-SA 4.0,https://stackoverflow.com/questions/73597765/how-to-conditionally-select-base-constructor-in-initialization-list-of-derived-c,How to conditionally select base constructor in initialization list of derived constructor,4084,757345,registered,87.0,https://www.gravatar.com/avatar/7f74fb14f4e7366f5a10160a299bc9c5?s=256&d=identicon&r=PG,DanielHsH,https://stackoverflow.com/users/757345/danielhsh,,,,,,,,,,,,,,,,,,,,,,,,,
1,"['ubuntu', 'awk', 'terminal', 'grep']",True,43,1,0,1662364548,1662293985,1662364548.0,73599339,CC BY-SA 4.0,https://stackoverflow.com/questions/73599339/automatically-grep-an-expression-between-matched-parenthesis,Automatically grep an expression between matched parenthesis,137,5556553,registered,,https://www.gravatar.com/avatar/a147b64f9afbf04f6d1c0eb254990ca7?s=256&d=identicon&r=PG&f=1,Alish,https://stackoverflow.com/users/5556553/alish,,,,,,,,,,,,,,,,,,,,,,,,,
2,['regex'],False,28,1,0,1662364532,1662288519,1662288884.0,73598721,CC BY-SA 4.0,https://stackoverflow.com/questions/73598721/need-help-correcting-a-regex-pattern-i-did,Need help correcting a Regex pattern I did,3,19912676,registered,,https://lh3.googleusercontent.com/a-/AFdZucqy4D8qO4ZlX8640Kz-nFPTBFsosWLcFInrnKcg3A=k-s256,fahad sheji,https://stackoverflow.com/users/19912676/fahad-sheji,,,,,,,,,,,,,,,,,,,,,,,,,
3,"['ios', 'swift', 'uikit']",False,41,2,0,1662364529,1662270129,1662364529.0,73597032,CC BY-SA 4.0,https://stackoverflow.com/questions/73597032/how-to-add-uilabels-to-uitableview-programmatically,How to add UILabels to UITableVIew programmatically?,1,19914183,registered,,https://www.gravatar.com/avatar/0c1d0bee9b67ecb3e9a08b6066a8db6b?s=256&d=identicon&r=PG,MohAliBou,https://stackoverflow.com/users/19914183/mohalibou,,,,,,,,,,,,,,,,,,,,,,,,,
4,"['c#', 'json.net']",True,39,2,2,1662364440,1662286062,1662296451.0,73598486,CC BY-SA 4.0,https://stackoverflow.com/questions/73598486/remove-character-from-json-field-name-while-deserializing,Remove character from json field name while Deserializing,663,1071159,registered,28.0,https://www.gravatar.com/avatar/a5969615403d36c9a002acf7bdb5f95e?s=256&d=identicon&r=PG,marifrahman,https://stackoverflow.com/users/1071159/marifrahman,,,,,,,,,,,,,,,,,,,,,,,,,
5,['awk'],True,69,6,2,1662364432,1662327135,1662349949.0,73602945,CC BY-SA 4.0,https://stackoverflow.com/questions/73602945/awk-print-all-regex-matches-on-every-line,AWK print all regex matches on every line,342,9347205,registered,,https://i.stack.imgur.com/FXSlN.png?s=256&g=1,aee,https://stackoverflow.com/users/9347205/aee,,,,,,,,,,,,,,,,,,,,,,,,,
6,"['python', 'pandas', 'dataframe', 'subset']",False,58,1,1,1662364409,1662302923,1662364409.0,73600330,CC BY-SA 4.0,https://stackoverflow.com/questions/73600330/finding-multiple-supersets-and-subsets-for-values-in-a-column-with-python,Finding multiple supersets and subsets for values in a column with python,23,17834606,registered,,https://www.gravatar.com/avatar/3908dce31c867a6ba66b3ea0b07a5669?s=256&d=identicon&r=PG,abcabc,https://stackoverflow.com/users/17834606/abcabc,,,,,,,,,,,,,,,,,,,,,,,,,
7,"['python', 'python-3.x', 'flask', 'flask-sqlalchemy']",True,38,2,-1,1662364396,1662318067,1662327902.0,73602052,CC BY-SA 4.0,https://stackoverflow.com/questions/73602052/sqlalchemy-not-creating-tables-with-db-create-all,SQLAlchemy not creating tables with db.create_all(),57,10700358,registered,,https://www.gravatar.com/avatar/bbc2221606e5ec13bc41715e31299c04?s=256&d=identicon&r=PG&f=1,Langouste,https://stackoverflow.com/users/10700358/langouste,,,,,,,,,,,,,,,,,,,,,,,,,
8,['swift'],False,19,1,0,1662364371,1662311358,,73601323,CC BY-SA 4.0,https://stackoverflow.com/questions/73601323/uikit-uinavigationcontroller-uiviewcontroller-properties-subclass-or-protoco,UIKit - UINavigationController : UIViewController properties subclass or protocol?,156,14440572,registered,,https://www.gravatar.com/avatar/5e13b55834285efd2f9a7b20681fae71?s=256&d=identicon&r=PG&f=1,DrainOpener,https://stackoverflow.com/users/14440572/drainopener,,,,,,,,,,,,,,,,,,,,,,,,,
9,"['javascript', 'reactjs', 'react-hooks']",False,33,0,0,1662364356,1662319826,1662364356.0,73602240,CC BY-SA 4.0,https://stackoverflow.com/questions/73602240/code-doesnt-run-after-having-2-hooks-with-null-properties,Code doesnt run after having 2 hooks with null properties,3,15811279,registered,,https://lh3.googleusercontent.com/a/AATXAJyCGaD7cZLCBtVp-PNbrPi4b5b9ZwuQlY7IU-L5=k-s256,Mega Animenia,https://stackoverflow.com/users/15811279/mega-animenia,,,,,,,,,,,,,,,,,,,,,,,,,
