,tags,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,owner.reputation,owner.user_id,owner.user_type,owner.profile_image,owner.display_name,owner.link,owner.accept_rate,closed_date,closed_reason,accepted_answer_id
0,"['list', 'apache-spark', 'date', 'pyspark', 'apache-spark-sql']",False,32,2,1,2022-09-07 06:32:38,2022-09-06 20:13:02,2022-09-07 06:32:38,73627323,CC BY-SA 4.0,https://stackoverflow.com/questions/73627323/collect-range-of-dates-as-list-in-spark,Collect range of dates as list in Spark,402,16459035,registered,https://www.gravatar.com/avatar/1685db6ff072ad91731538508e40fd43?s=256&d=identicon&r=PG,OdiumPura,https://stackoverflow.com/users/16459035/odiumpura,,,,
1,"['c#', '.net', 'mqtt', 'mosquitto', 'mqttnet']",False,38,0,0,2022-09-07 06:32:32,2022-09-06 21:05:44,2022-09-07 06:32:32,73627744,CC BY-SA 4.0,https://stackoverflow.com/questions/73627744/mqtt-connection-timeout-localhost-mosquitto,Mqtt connection timeout - localhost mosquitto,1,19935335,registered,https://lh3.googleusercontent.com/a-/AFdZucrzbXxg0ZYXZzZnZe5iE9sEpAWPUmQ9-NKL34YBEA=k-s256,Kacper Wojnar,https://stackoverflow.com/users/19935335/kacper-wojnar,,,,
2,"['c++', 'windows-runtime', 'winui-3']",False,21,1,0,2022-09-07 06:32:19,2022-09-06 22:35:59,,73628384,CC BY-SA 4.0,https://stackoverflow.com/questions/73628384/winui-3-c-winrt-loading-string-resources,WinUI 3 C++/WinRT loading string resources,146,4203345,registered,https://lh3.googleusercontent.com/-YtDCzIOyFZ0/AAAAAAAAAAI/AAAAAAAA_Ys/Q8-qXHbmikw/photo.jpg?sz=256,Jason Coulls,https://stackoverflow.com/users/4203345/jason-coulls,,,,
3,"['javascript', 'jquery', 'ajax', 'asp.net-core', '.net-core']",False,57,2,-1,2022-09-07 06:32:13,2022-09-06 10:35:46,,73620586,CC BY-SA 4.0,https://stackoverflow.com/questions/73620586/window-location-replace-is-always-undefined,window.location.replace is always undefined,555,975214,registered,https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1,Assaf Our,https://stackoverflow.com/users/975214/assaf-our,71.0,,,
4,"['azure', 'azure-data-factory']",False,21,1,0,2022-09-07 06:31:42,2022-09-06 12:16:44,,73621912,CC BY-SA 4.0,https://stackoverflow.com/questions/73621912/azure-data-factory-skip-activity-in-debug-mode,Azure Data Factory: skip activity in debug mode,171,11363014,registered,https://lh5.googleusercontent.com/-TXvv1h8xKlM/AAAAAAAAAAI/AAAAAAAAVLw/pduAMhTiGVM/photo.jpg?sz=256,Dominik Braun,https://stackoverflow.com/users/11363014/dominik-braun,,,,
5,"['windows', 'git', 'ansible', 'git-lfs']",False,20,0,0,2022-09-07 06:31:13,2022-09-06 13:04:25,2022-09-07 06:31:13,73622554,CC BY-SA 4.0,https://stackoverflow.com/questions/73622554/ansible-git-clone-fails-with-fatal-out-of-memory-realloc-failed,"Ansible: git clone fails with &quot;fatal: Out of memory, realloc failed&quot;",1501,6240756,registered,https://lh3.googleusercontent.com/-04YIAx_01kY/AAAAAAAAAAI/AAAAAAAAnhw/V94DoARneK4/photo.jpg?sz=256,iAmoric,https://stackoverflow.com/users/6240756/iamoric,60.0,,,
6,"['azure', 'azure-data-factory', 'azure-data-factory-2', 'azure-synapse', 'azure-data-factory-pipeline']",False,22,1,0,2022-09-07 06:31:10,2022-09-06 03:32:58,,73616420,CC BY-SA 4.0,https://stackoverflow.com/questions/73616420/adf-synapse-all-objects-iterate-and-remove-the-underscore,ADF/Synapse all Objects iterate and remove the Underscore,78,10410373,registered,https://www.gravatar.com/avatar/e84afb952534cb60af7b91c49acfb087?s=256&d=identicon&r=PG&f=1,Never_Give_Up,https://stackoverflow.com/users/10410373/never-give-up,,,,
7,"['google-apps-script', 'google-docs']",False,47,2,0,2022-09-07 06:30:43,2022-09-06 19:44:33,2022-09-06 19:58:00,73627055,CC BY-SA 4.0,https://stackoverflow.com/questions/73627055/how-to-delete-selected-text-in-a-google-doc-using-google-apps-script,How to delete selected text in a Google doc using Google Apps Script,284,5892805,registered,https://www.gravatar.com/avatar/f9dfdd5870840cd56ee2f6c9abb67853?s=256&d=identicon&r=PG&f=1,InColorado,https://stackoverflow.com/users/5892805/incolorado,,,,
8,"['java', 'exit', 'pause', 'jfugue']",False,36,1,0,2022-09-07 06:30:40,2022-09-06 08:57:59,2022-09-06 08:59:22,73619318,CC BY-SA 4.0,https://stackoverflow.com/questions/73619318/how-to-pause-stop-a-running-code-in-java-eclipse-by-pressing-a-key,How to pause/stop a running code in Java (Eclipse) by pressing a key,11,17838848,registered,https://www.gravatar.com/avatar/b13725153910ce52788c61120c810cd9?s=256&d=identicon&r=PG,Zero,https://stackoverflow.com/users/17838848/zero,,,,
9,"['javascript', 'arrays', 'string', 'function']",False,45,1,0,2022-09-07 06:29:09,2022-09-06 19:45:16,2022-09-06 19:48:14,73627060,CC BY-SA 4.0,https://stackoverflow.com/questions/73627060/javascript-array-to-string-returning-in-a-function,Javascript array to string returning in a function,11,19934706,registered,https://www.gravatar.com/avatar/80e58bc3c8364a3cb14b23f2f45b0278?s=256&d=identicon&r=PG,Throwaway2123,https://stackoverflow.com/users/19934706/throwaway2123,,,,
10,"['batch-file', 'cmd', 'directory']",False,33,1,1,2022-09-07 06:27:45,2022-09-06 16:24:57,,73625140,CC BY-SA 4.0,https://stackoverflow.com/questions/73625140/how-to-organize-files-in-folders,How to organize files in folders,59,19789005,registered,https://lh3.googleusercontent.com/a/AItbvmkr6UDfi7cXURDMGDA6KKnxyaScgYRmvrLKmObP=k-s256,Ionut Bejinariu,https://stackoverflow.com/users/19789005/ionut-bejinariu,,,,
11,"['excel', 'vba']",True,50,2,-2,2022-09-07 06:27:24,2022-09-06 12:31:47,2022-09-06 13:02:48,73622125,CC BY-SA 4.0,https://stackoverflow.com/questions/73622125/how-do-i-duplicate-an-excel-workbook-and-all-of-the-code-inside-it,How do I duplicate an excel workbook and all of the code inside it,1,19930181,registered,https://i.stack.imgur.com/kfhmT.jpg?s=256&g=1,KaD,https://stackoverflow.com/users/19930181/kad,,,,
12,"['sharepoint', 'caml']",False,14,1,0,2022-09-07 06:27:15,2022-09-06 14:26:38,,73623689,CC BY-SA 4.0,https://stackoverflow.com/questions/73623689/caml-query-for-author-field,CAML Query For Author Field,7,10438442,registered,https://i.stack.imgur.com/yXHgY.jpg?s=256&g=1,Serdar YILMAZ,https://stackoverflow.com/users/10438442/serdar-yilmaz,,,,
13,"['react-native', 'twilio', 'twilio-api', 'twilio-video', 'twilio-programmable-voice']",False,29,1,0,2022-09-07 06:26:17,2022-09-06 06:48:23,,73617773,CC BY-SA 4.0,https://stackoverflow.com/questions/73617773/how-to-publish-localscreenshare-tracks-from-ios-to-web-browser-in-react-native-u,How to publish LocalScreenShare tracks from IOS to Web browser in React-Native using Twilio,11,19776208,registered,https://www.gravatar.com/avatar/d7f7a83767d1bd8583880a6f42af3b6b?s=256&d=identicon&r=PG,Vipul,https://stackoverflow.com/users/19776208/vipul,,,,
14,"['javascript', 'jquery']",False,34,0,-1,2022-09-07 06:26:02,2022-09-06 12:47:36,2022-09-07 06:26:02,73622337,,https://stackoverflow.com/questions/73622337/why-does-the-location-of-document-ready-matter,why does the location of $(document).ready matter,374,6638412,registered,https://www.gravatar.com/avatar/706a8760d62f22a38547610d95691d66?s=256&d=identicon&r=PG&f=1,Gatiivs,https://stackoverflow.com/users/6638412/gatiivs,,2022-09-06 12:52:09,Not suitable for this site,
15,"['c#', 'byte', 'modbus', 'crc']",False,25,1,0,2022-09-07 06:25:14,2022-09-06 13:52:19,2022-09-06 14:13:09,73623228,CC BY-SA 4.0,https://stackoverflow.com/questions/73623228/crc-calculation-of-byte-array-in-c,CRC Calculation Of Byte Array in C#,1,19870937,registered,https://www.gravatar.com/avatar/2c8e448ccec1306203cbaf243d92013f?s=256&d=identicon&r=PG,Ahmet,https://stackoverflow.com/users/19870937/ahmet,,,,
16,['c#'],False,23,0,-2,2022-09-07 06:23:46,2022-09-06 15:35:04,2022-09-07 06:23:46,73624589,,https://stackoverflow.com/questions/73624589/is-there-any-code-to-do-load-test-on-c-method,is there any code to do Load test on C# method,27,2241060,registered,https://www.gravatar.com/avatar/255f63cbedc468c15c55b2ccdf69bc0f?s=256&d=identicon&r=PG,Satya M,https://stackoverflow.com/users/2241060/satya-m,,2022-09-06 15:37:38,Not suitable for this site,
17,"['elasticsearch', 'opensearch', 'amazon-opensearch']",False,19,1,0,2022-09-07 06:23:10,2022-09-06 12:23:36,2022-09-07 06:23:10,73622007,CC BY-SA 4.0,https://stackoverflow.com/questions/73622007/sorting-aggregated-data-in-elastic-search,Sorting aggregated data in elastic search,55,8541561,registered,https://lh5.googleusercontent.com/-GtfqITP_rPw/AAAAAAAAAAI/AAAAAAAAAKE/3uXtY-qFbgk/photo.jpg?sz=256,Puneet Dewan,https://stackoverflow.com/users/8541561/puneet-dewan,75.0,,,
18,"['mongodb', 'mongoose', 'mongodb-query', 'aggregation-framework']",False,26,0,0,2022-09-07 06:22:34,2022-09-06 07:07:40,2022-09-07 06:22:34,73617984,CC BY-SA 4.0,https://stackoverflow.com/questions/73617984/mongodb-addfields-get-first-object-value-to-pass-next-object,MongoDB - $addFields get first object value to pass next object,426,5689446,registered,https://lh4.googleusercontent.com/-zvwW2ZQCnCY/AAAAAAAAAAI/AAAAAAAAAIM/EFTwep_8xnE/photo.jpg?sz=256,Aravinth E,https://stackoverflow.com/users/5689446/aravinth-e,50.0,,,
19,"['postgresql', 'sequelize.js']",False,20,0,0,2022-09-07 06:21:39,2022-09-06 22:41:46,2022-09-07 06:21:39,73628420,CC BY-SA 4.0,https://stackoverflow.com/questions/73628420/how-to-disable-debug-mode-for-sql,how to disable debug mode for sql,2055,3167642,registered,https://www.gravatar.com/avatar/661aa6b66b5c81a72564fd89f46c0224?s=256&d=identicon&r=PG&f=1,guest,https://stackoverflow.com/users/3167642/guest,36.0,,,
20,"['python', 'security', 'ftp', 'cve']",False,15,1,1,2022-09-07 06:21:17,2022-09-06 21:25:25,,73627905,CC BY-SA 4.0,https://stackoverflow.com/questions/73627905/is-it-now-save-to-use-python-ftblib-in-passive-mode,is it now save to use python ftblib in passive mode,13,19922521,registered,https://graph.facebook.com/2189066807962642/picture?type=large,Anne Yo,https://stackoverflow.com/users/19922521/anne-yo,,,,
21,"['c#', '.net', 'oop', 'generics', '.net-core']",False,50,1,0,2022-09-07 06:21:12,2022-09-06 11:36:41,2022-09-07 06:21:12,73621404,CC BY-SA 4.0,https://stackoverflow.com/questions/73621404/cast-generic-list-to-implemented-interfaces-c,Cast generic List to implemented interfaces C#,57,10433663,registered,https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256,mahmood,https://stackoverflow.com/users/10433663/mahmood,,,,
22,"['javascript', 'if-statement', 'conditional-statements', 'variable-assignment']",False,20,1,0,2022-09-07 06:20:39,2022-09-06 22:49:16,2022-09-06 23:04:34,73628468,CC BY-SA 4.0,https://stackoverflow.com/questions/73628468/having-issues-trying-to-fix-this-control-flow-problem,Having issues trying to fix this control flow problem,53,16257138,registered,https://www.gravatar.com/avatar/b64aae55028abc216f20f07aa987c163?s=256&d=identicon&r=PG&f=1,Hendrik,https://stackoverflow.com/users/16257138/hendrik,,,,
23,"['google-apps-script', 'google-sheets']",False,37,1,0,2022-09-07 06:20:04,2022-09-06 11:13:17,,73621070,CC BY-SA 4.0,https://stackoverflow.com/questions/73621070/why-cant-i-get-the-search-result-using-an-app-i-made-using-google-app-script-e,"Why can&#39;t I get the search result using an app I made using Google App Script, even if I surely have the data?",2319,10215301,registered,https://lh3.googleusercontent.com/-bwcos_zylKg/AAAAAAAAAAI/AAAAAAAAAAA/AAnnY7o18NuEdWnDEck_qPpn-lu21VTdfw/mo/photo.jpg?sz=256,Carlos Luis Rivera,https://stackoverflow.com/users/10215301/carlos-luis-rivera,,,,
24,"['python', 'pandas', 'dataframe', 'multiple-conditions', 'date-difference']",False,35,2,0,2022-09-07 06:17:49,2022-09-06 07:19:27,,73618128,CC BY-SA 4.0,https://stackoverflow.com/questions/73618128/how-to-keep-rows-based-on-conditions-of-a-data-frame,How to keep rows based on conditions of a data frame,21,17901585,registered,https://lh3.googleusercontent.com/a/AATXAJyVL17K3pnKavGCyAb7jcqU0WVUQ6tvae9mofeIPw=k-s256,Nguyen Pham,https://stackoverflow.com/users/17901585/nguyen-pham,,,,
25,"['javascript', 'reactjs', 'svg', 'imagetracerjs']",False,43,0,0,2022-09-07 06:17:26,2022-09-06 07:01:17,2022-09-07 06:17:26,73617910,CC BY-SA 4.0,https://stackoverflow.com/questions/73617910/callback-function-is-not-getting-executed,Callback function is not getting executed,11,19877010,registered,https://lh3.googleusercontent.com/a-/AFdZucpUVGahkhLs58hfYRzQq3L8VbuRx3m9-PxfamKx5Q=k-s256,Devika Jayakumar,https://stackoverflow.com/users/19877010/devika-jayakumar,,,,
26,"['api', 'asp.net-core', 'entity-framework-core']",False,26,1,1,2022-09-07 06:16:30,2022-09-06 18:13:59,,73626234,CC BY-SA 4.0,https://stackoverflow.com/questions/73626234/working-with-multiple-dbcontext-insances-causes-wrong-values-to-be-loaded-from-d,Working with multiple DbContext insances causes wrong values to be loaded from database Entity Framework Core,117,11920695,registered,https://lh6.googleusercontent.com/-DvWgmdgUZc8/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfTcsTXTgoUhoQo1VXvtd3NAfmkFg/photo.jpg?sz=256,Ethan Kharitonov,https://stackoverflow.com/users/11920695/ethan-kharitonov,,,,
27,"['pine-script', 'algorithmic-trading', 'pinescript-v5', 'tradingview-api', 'technical-indicator']",False,20,1,0,2022-09-07 06:15:42,2022-09-06 17:05:46,2022-09-06 17:06:53,73625560,CC BY-SA 4.0,https://stackoverflow.com/questions/73625560/is-there-a-way-to-display-indicator-value-of-last-closed-bar-in-tradingview-pine,Is there a way to display indicator value of last closed bar in TradingView PineScript?,1,19933828,registered,https://www.gravatar.com/avatar/189fdb765f3c982856c881d0f58387fa?s=256&d=identicon&r=PG,santanderboogieman,https://stackoverflow.com/users/19933828/santanderboogieman,,,,
28,"['regex', 'parsing', 'jenkins']",True,17,2,0,2022-09-07 06:15:27,2022-09-06 12:50:29,2022-09-06 12:59:20,73622379,CC BY-SA 4.0,https://stackoverflow.com/questions/73622379/how-to-parse-output-jenkins-console-return-value-and-save-in-variable,"How to parse output jenkins console, return value and save in variable",33,18252387,registered,https://lh3.googleusercontent.com/a-/AOh14GjDmjfDuEmKSlQjLl_fg0rmBSNELEt-VrHa-MkwEg=k-s256,haker146,https://stackoverflow.com/users/18252387/haker146,,,,
29,"['puppeteer', 'browsershot']",False,15,0,0,2022-09-07 06:15:17,2022-09-06 16:15:26,2022-09-07 06:15:17,73625014,CC BY-SA 4.0,https://stackoverflow.com/questions/73625014/puppeteer-browsershot-file-not-found-but-it-exists,Puppeteer/BrowserShot: file not found but it exists,870,1651152,registered,https://www.gravatar.com/avatar/50901af884c50a8f12804b0cf3aeb98a?s=256&d=identicon&r=PG,Victor,https://stackoverflow.com/users/1651152/victor,44.0,,,
30,"['regex', 'notepad++']",False,26,1,0,2022-09-07 06:15:15,2022-09-06 18:24:36,,73626337,CC BY-SA 4.0,https://stackoverflow.com/questions/73626337/replace-diacritics-before-after-numbers,replace diacritics before\after numbers,1,19934238,registered,https://lh3.googleusercontent.com/a/AItbvmlYWpmjG2fzNLjWJBlSnIw64vUDT-4Y81hbdRhn=k-s256,Abdullah Abdullrhman,https://stackoverflow.com/users/19934238/abdullah-abdullrhman,,,,
31,"['windows', 'driver', 'display', 'ati']",False,21,0,-1,2022-09-07 06:14:46,2022-09-06 13:28:34,2022-09-07 06:14:46,73622891,,https://stackoverflow.com/questions/73622891/incorrect-parameter-for-display-driver,incorrect parameter for display driver,1,16803954,registered,https://lh3.googleusercontent.com/a/AATXAJyNRCc9WuULeZ_pLEA6HsWAPB27P1IUd2dNB_Fm=k-s256,Nimo97,https://stackoverflow.com/users/16803954/nimo97,,2022-09-06 22:26:51,Not suitable for this site,
32,"['java', 'selenium', 'data-layers']",False,12,1,0,2022-09-07 06:14:32,2022-09-06 17:23:28,,73625753,CC BY-SA 4.0,https://stackoverflow.com/questions/73625753/how-to-capture-datalayer-object-and-print-in-my-eclipse-console-using-selenium,How to capture datalayer object and print in my eclipse console using selenium,1,19933868,registered,https://www.gravatar.com/avatar/52419eb3e636ad41525542c081962122?s=256&d=identicon&r=PG,Ragav,https://stackoverflow.com/users/19933868/ragav,,,,
33,['pine-script'],False,20,1,0,2022-09-07 06:12:35,2022-09-06 23:37:42,2022-09-06 23:46:04,73628695,CC BY-SA 4.0,https://stackoverflow.com/questions/73628695/pine-cannot-determine-referencing-length-of-a-series,Pine cannot determine referencing length of a series,1,19935905,registered,https://lh3.googleusercontent.com/a/AItbvmlAZ3exw2jqj8Wh8RC0x8eZzFzL144CVCrlhNYo=k-s256,Kuba,https://stackoverflow.com/users/19935905/kuba,,,,
34,"['java', 'restcomm']",False,10,0,0,2022-09-07 06:12:21,2022-09-06 18:00:34,2022-09-07 06:12:21,73626105,CC BY-SA 4.0,https://stackoverflow.com/questions/73626105/calledparty-address-indicator,CalledParty Address Indicator,9,4586335,registered,https://lh3.googleusercontent.com/-9LzP4je1lBs/AAAAAAAAAAI/AAAAAAAAU8g/seZ8lF_RQZE/photo.jpg?sz=256,Naseem Rahman,https://stackoverflow.com/users/4586335/naseem-rahman,,,,
35,"['html', 'css', 'bootstrap-4']",True,38,3,0,2022-09-07 06:09:55,2022-09-06 02:34:21,,73616143,CC BY-SA 4.0,https://stackoverflow.com/questions/73616143/how-to-create-a-diagonal-gradient-background-with-css,How to create a diagonal &quot;gradient&quot; background with CSS,61,17495439,registered,https://lh3.googleusercontent.com/a/AATXAJz7pEqG65waftLTkKaBxGkiAmxQk96c3AFAjzNw=k-s256,Sasbadi Wan,https://stackoverflow.com/users/17495439/sasbadi-wan,,,,
36,"['javascript', 'html', 'jquery', 'ios']",False,28,0,0,2022-09-07 06:09:33,2022-09-06 08:21:09,2022-09-07 06:09:33,73618864,CC BY-SA 4.0,https://stackoverflow.com/questions/73618864/specific-jquery-function-not-working-on-ios-devices-only,Specific Jquery Function Not Working on iOS devices only,1,19085525,registered,https://lh3.googleusercontent.com/a-/AOh14GhxFRUBLma7pzyqyrtDAuyLLzt7dX7VyTy7PU79zcI=k-s256,holty07,https://stackoverflow.com/users/19085525/holty07,,,,
